"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase"
"5890","M","26-35","20","C","4+","1",113964
"1968","M","26-35","0","C","2","0",298115
"5066","M","51-55","16","C","2","1",567971
"5024","F","55+","13","C","2","1",137534
"3716","M","36-45","18","C","0","1",775552
"4312","M","51-55","5","C","1","1",1446867
"3970","M","18-25","4","B","1","1",847923
"3083","F","26-35","11","B","4+","0",186597
"5770","M","36-45","7","C","4+","1",318106
"2953","M","46-50","11","A","4+","0",434189
"2411","M","18-25","19","A","3","0",245489
"1041","M","0-17","0","C","1","0",329556
"3998","F","26-35","7","B","1","1",2058274
"394","M","26-35","12","C","0","0",162381
"751","M","26-35","2","B","1","0",298961
"2971","M","26-35","17","A","4+","0",3065866
"3245","M","18-25","4","C","4+","0",354740
"2238","M","36-45","15","C","2","0",705471
"4299","M","26-35","4","C","1","1",767683
"2629","M","46-50","1","C","3","0",706476
"1045","F","18-25","0","C","1","0",127382
"532","M","18-25","4","A","1","0",745865
"4675","M","26-35","12","A","2","1",2629286
"1336","M","36-45","7","C","1","0",277523
"3178","F","51-55","0","C","4+","0",267105
"3598","F","46-50","1","C","0","1",1117021
"1295","F","26-35","7","C","1","0",208174
"2798","M","26-35","14","C","3","0",974219
"833","M","18-25","5","B","1","0",164935
"1422","M","18-25","12","C","1","0",428796
"4916","M","51-55","2","C","2","1",235209
"2153","M","55+","7","C","2","0",496154
"4490","M","55+","13","C","1","1",377420
"5200","M","51-55","0","B","3","1",3102034
"758","F","36-45","2","B","1","0",2350534
"2107","M","36-45","6","C","2","0",245538
"4355","M","26-35","7","C","1","1",321503
"3787","M","26-35","4","A","1","1",3319877
"3460","F","26-35","14","A","0","1",233293
"3594","M","26-35","1","C","0","1",939606
"808","M","18-25","4","B","1","0",2853819
"4742","M","18-25","4","B","2","1",668492
"913","M","0-17","10","B","1","0",287410
"3338","M","26-35","12","C","4+","0",526240
"4302","F","26-35","5","C","1","1",115544
