"","User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase","Items","Average_Price"
"1",1000034,"F","18-25","0","A","0","0",807747,99,8159.06060606061
"2",1000524,"M","18-25","0","A","0","0",5212846,558,9342.01792114695
"3",1003389,"M","18-25","0","A","0","0",2580955,321,8040.35825545171
"4",1003789,"F","26-35","0","A","0","0",844854,76,11116.5
"5",1001579,"M","26-35","0","A","0","0",3977702,444,8958.78828828829
"6",1003678,"M","26-35","0","A","0","0",773414,71,10893.1549295775
"7",1004643,"M","26-35","0","A","0","0",885018,116,7629.46551724138
"8",1005720,"M","26-35","0","A","0","0",1463389,178,8221.28651685393
"9",1003217,"F","36-45","0","A","0","0",1882898,201,9367.65174129353
"10",1000456,"M","36-45","0","A","0","0",925393,91,10169.1538461538
"11",1001322,"M","55+","0","A","0","0",2028794,229,8859.36244541485
"12",1001973,"M","26-35","1","A","0","0",201529,21,9596.61904761905
"13",1002525,"F","36-45","1","A","0","0",228217,32,7131.78125
"14",1003664,"F","36-45","1","A","0","0",461106,67,6882.17910447761
"15",1002478,"M","51-55","1","A","0","0",1454452,158,9205.39240506329
"16",1005946,"F","55+","1","A","0","0",387314,49,7904.36734693878
"17",1005146,"M","55+","1","A","0","0",147382,16,9211.375
"18",1000500,"F","18-25","2","A","0","0",351345,52,6756.63461538462
"19",1005605,"F","18-25","2","A","0","0",2687881,382,7036.33769633508
"20",1004543,"M","26-35","2","A","0","0",4642305,587,7908.52640545145
"21",1005070,"M","26-35","2","A","0","0",2179525,253,8614.7233201581
"22",1005077,"M","26-35","2","A","0","0",2023820,225,8994.75555555556
"23",1000455,"F","36-45","2","A","0","0",139409,13,10723.7692307692
"24",1005526,"F","36-45","2","A","0","0",1306388,151,8651.5761589404
"25",1004789,"M","36-45","2","A","0","0",1590642,158,10067.3544303797
"26",1001364,"F","46-50","2","A","0","0",248550,30,8285
"27",1001394,"F","26-35","3","A","0","0",110862,18,6159
"28",1000068,"M","18-25","4","A","0","0",328177,42,7813.7380952381
"29",1000352,"M","18-25","4","A","0","0",4355777,486,8962.50411522634
